kepid,ra,dec,teff,teff_err_high,teff_err_low,logg,logg_err_high,logg_err_low,kepmag,Q4,Q8,Q11,Q16
2019352,19 30 05.904,+37 26 59.45,3881,46,-100,0.574,0.203,-0.087,13.304,1,0,1,-1
2020444,19 31 01.428,+37 29 37.24,6888,72,-82,4.163,0.095,-0.116,13.005,-1,-1,-1,-1
2140389,19 03 39.938,+37 35 39.41,5066,181,-181,4.625,0.035,-0.07,15.826,-1,-1,-1,-1
2140897,19 04 20.743,+37 34 10.84,5644,152,-152,4.515,0.069,-0.173,15.045,0,0,-1,0
2141385,19 05 02.074,+37 30 15.83,3756,82,-67,0.923,0.264,-0.176,8.257,-1,-1,1,-1
2141387,19 05 02.138,+37 33 41.68,7219,200,-343,4.044,0.17,-0.17,12.157,-1,-1,-1,-1
2141697,19 05 22.771,+37 30 06.51,6292,169,-207,4.068,0.329,-0.141,13.399,-1,-1,-1,-1
2141787,19 05 29.693,+37 33 36.25,5662,169,-169,4.461,0.15,-0.165,14.646,0,0,0,-1
2142026,19 05 49.234,+37 35 55.28,5602,151,-151,4.614,0.037,-0.12,14.254,0,0,-1,0
2142183,19 06 02.498,+37 35 44.27,4860,134,-122,3.051,0.492,-0.328,13.642,-1,-1,-1,-1
2142522,19 06 30.182,+37 32 14.28,6113,98,-147,4.341,0.066,-0.114,12.867,-1,0,0,0
2155343,19 21 18.106,+37 33 59.61,6883,214,-286,3.968,0.293,-0.158,13.307,0,-1,-1,0
2156906,19 22 47.234,+37 33 52.99,6153,190,-254,4.471,0.054,-0.202,15.465,0,-1,0,0
2156939,19 22 48.684,+37 30 23.21,4148,93,-114,1.458,0.03,-0.03,12.373,-1,0,0,0
2157489,19 23 18.970,+37 30 27.04,7725,216,-325,3.66,0.44,-0.11,12.132,-1,0,0,0
2158548,19 24 20.419,+37 34 30.18,5827,174,-174,4.538,0.117,-0.072,12.966,1,-1,-1,-1
2159449,19 25 09.413,+37 35 58.13,5079,52,-113,3.273,0.203,-0.101,12.478,-1,1,1,0
2159486,19 25 11.155,+37 32 58.66,4879,88,-78,4.558,0.052,-0.021,15.008,-1,-1,1,-1
2159700,19 25 21.893,+37 34 02.54,3933,79,-55,1.331,0.12,-0.12,9.749,1,-1,-1,-1
2159783,19 25 26.251,+37 33 11.96,5734,86,-77,3.746,0.217,-0.093,14.965,-1,-1,-1,-1
2162283,19 27 34.027,+37 33 24.55,6947,164,-247,4.067,0.17,-0.187,9.551,-1,1,-1,1
2162994,19 28 13.922,+37 35 31.38,5610,152,-152,4.533,0.074,-0.137,14.162,-1,-1,-1,-1
2163444,19 28 34.190,+37 34 52.65,4868,146,-131,4.613,0.041,-0.045,14.886,0,0,-1,0
2164791,19 29 42.569,+37 33 21.67,2661,,,5.283,,,15.223,-1,-1,-1,0
2165352,19 30 10.356,+37 33 20.73,4994,75,-82,4.62,0.015,-0.051,14.469,0,0,-1,0
2167783,19 32 17.381,+37 31 32.56,4710,56,-91,2.704,0.165,-0.15,13.892,1,1,1,-1
2282919,19 03 50.119,+37 36 59.80,5330,204,-185,4.464,0.117,-0.143,14.981,-1,0,0,0
2283186,19 04 12.994,+37 39 04.90,5269,142,-158,4.627,0.03,-0.09,14.421,0,-1,0,0
2283703,19 04 52.375,+37 38 13.41,5040,151,-151,4.659,0.056,-0.032,14.957,0,0,-1,0
2285032,19 06 35.172,+37 39 38.09,4589,55,-61,2.2,0.14,-0.14,11.674,0,0,-1,0
2285420,19 07 06.343,+37 38 22.38,4174,145,-160,4.655,0.059,-0.027,13.503,-1,-1,-1,-1
2285548,19 07 16.406,+37 39 06.58,4813,131,-119,3.797,0.791,-0.339,13.778,-1,-1,-1,-1
2297728,19 21 00.461,+37 40 56.21,6634,151,-184,4.164,0.204,-0.167,10.014,1,1,1,-1
2297729,19 21 00.468,+37 38 22.53,4875,146,-110,3.563,0.967,-0.322,16.319,1,-1,1,-1
2298664,19 21 48.538,+37 41 23.04,5062,80,-80,4.615,0.014,-0.052,15.64,0,0,-1,0
2299543,19 22 40.277,+37 36 38.52,3091,124,-67,-0.067,0.229,-0.04,12.934,0,-1,0,0
2299738,19 22 52.140,+37 38 56.44,5094,151,-136,4.618,0.04,-0.065,13.961,0,-1,0,1
2299915,19 23 02.702,+37 40 48.76,5516,182,-182,4.538,0.04,-0.16,15.708,0,0,-1,1
2300039,19 23 09.631,+37 39 39.71,3408,54,-47,4.923,0.055,-0.035,15.427,-1,-1,-1,-1
2300315,19 23 24.346,+37 40 52.42,5691,152,-169,4.56,0.042,-0.168,15.278,0,0,-1,0
2300319,19 23 24.470,+37 41 58.75,6228,197,-241,4.163,0.258,-0.172,11.92,0,0,-1,-1
2300402,19 23 28.522,+37 36 35.14,5697,154,-154,4.433,0.116,-0.174,13.339,0,0,-1,0
2300529,19 23 34.855,+37 38 20.00,7247,201,-345,4.111,0.128,-0.192,12.554,1,1,1,-1
2302092,19 25 02.952,+37 41 52.44,5411,164,-164,4.201,0.293,-0.18,14.44,-1,-1,-1,-1
2302624,19 25 30.924,+37 41 43.08,3490,125,-104,0.701,0.276,-0.184,10.461,-1,-1,-1,-1
2304168,19 26 48.302,+37 40 00.31,7221,226,-327,3.672,0.486,-0.054,12.411,-1,-1,-1,-1
2304604,19 27 14.122,+37 38 23.24,5525,82,-66,4.054,0.238,-0.102,14.902,1,-1,-1,-1
2305277,19 27 52.975,+37 39 04.29,5926,160,-178,4.532,0.039,-0.221,15.101,-1,-1,-1,-1
2305372,19 27 57.679,+37 40 21.90,6230,75,-87,4.043,0.18,-0.12,13.821,-1,-1,-1,-1
2305811,19 28 19.130,+37 36 07.16,6045,189,-232,4.494,0.054,-0.229,15.413,0,0,-1,0
2305930,19 28 25.634,+37 41 23.28,4888,51,-88,2.37,0.027,-0.033,10.801,0,0,0,-1
2306740,19 29 04.754,+37 41 53.52,5912,160,-160,4.225,0.258,-0.172,13.545,-1,-1,-1,-1
2306916,19 29 13.937,+37 38 04.95,3296,107,-88,0.154,0.204,-0.048,11.473,-1,-1,-1,-1
2307206,19 29 30.278,+37 39 26.85,5553,166,-166,4.577,0.036,-0.144,15.734,-1,-1,-1,0
2307249,19 29 32.299,+37 41 25.84,4889,176,-176,4.699,0.048,-0.028,15.655,1,-1,-1,-1
2307675,19 29 55.687,+37 37 44.04,3286,107,-88,0.123,0.2,-0.05,10.447,-1,-1,-1,-1
2308761,19 30 51.211,+37 41 42.46,5780,,,4.438,,,13.289,-1,-1,-1,-1
2308957,19 31 00.439,+37 36 12.74,5788,78,-78,3.607,0.277,-0.111,14.52,-1,-1,-1,-1
2309030,19 31 04.798,+37 36 41.91,5353,74,-74,4.515,0.039,-0.091,12.95,0,-1,-1,0
2309585,19 31 35.844,+37 39 21.81,5751,160,-200,4.508,0.037,-0.213,15.373,0,0,-1,0
2309587,19 31 35.933,+37 39 33.51,5799,157,-157,4.326,0.19,-0.19,13.925,-1,-1,-1,-1
